Name,Year,Manufacture,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
CX-5 Grand Touring FWD,2018,Mazda,"Lakewood, CO
10 mi away",Snowflake White Pearl Mica,Gasoline,6-Speed Automatic Overdrive,187 hp 2.5L I4,JM3KFADM7J1352909,"35,156 miles","$24,985"
Wrangler Unlimited Sport 4WD,2017,Jeep,"Denver, CO
4 mi away",Gray,Gasoline,Automatic,285 hp 3.6L V6,1C4BJWDG7HL609693,"31,337 miles","$32,595"
Tundra SR5 CrewMax 5.7L 4WD,2018,Toyota,"Denver, CO
10 mi away",SILVER/GRAY,Gasoline,Automatic,381 hp 5.7L V8,5TFDY5F11JX685058,"80,385 miles","$36,999"
RX 350,2016,Lexus,"Denver, CO
1 mi away",Nebula Gray Pearl,Gasoline,8-Speed Automatic,295 hp 3.5L V6,2T2BZMCA8GC009972,"54,379 miles","$35,000"
Bronco Sport Big Bend AWD,2021,Ford,"Dacono, CO
24 mi away",Iconic Silver Metallic,Gasoline,8-Speed Automatic,181 hp 1.5L I3,3FMCR9B61MRA12006,"4,406 miles","$35,788"
Passat TDI SE,2014,Volkswagen,"Aurora, CO
7 mi away",Silver,Diesel,6-Speed Automatic,140 hp 2L I4 Diesel,1VWBN7A33EC117697,"102,356 miles","$10,997"
HR-V Sport AWD,2019,Honda,"Centennial, CO
12 mi away",Aegean Blue Metallic,Gasoline,Continuously Variable Transmission,141 hp 1.8L I4,3CZRU6H13KG714029,"17,333 miles","$22,593"
Compass Latitude,2016,Jeep,"Denver, CO
2 mi away",Black,Gasoline,Continuously Variable Transmission,158 hp 2L I4,1C4NJCEA5GD773362,"82,185 miles","$14,377"
2500 Big Horn Crew Cab 4WD,2019,RAM,"Lone Tree, CO
13 mi away",Bright White Clearcoat,Diesel,6-Speed Automatic,370 hp 6.7L I6 Diesel,3C6UR5DL3KG680331,"23,911 miles","$53,973"
Tacoma Double Cab V6 4WD,2015,Toyota,"Greeley, CO
47 mi away",Gray,Gasoline,Automatic,236 hp 4L V6,5TFLU4EN1FX121391,"95,653 miles","$26,996"
Optima LX,2018,Kia,"Denver, CO
6 mi away",Blue,Gasoline,Automatic,185 hp 2.4L I4,5XXGT4L32JG216760,"73,330 miles","$15,796"
RX 350 AWD,2008,Lexus,"Lakewood, CO
7 mi away",White,Gasoline,5-Speed Automatic,270 hp 3.5L V6,2T2HK31U88C077857,"171,000 miles","$8,495"
F-150 XL SuperCab 4WD,2017,Ford,"Denver, CO
3 mi away",White,Gasoline,6-Speed Automatic,325 hp 2.7L V6,1FTEX1EPXHKE17560,"61,178 miles","$27,991"
911 Turbo Coupe AWD,2017,Porsche,"Westminster, CO
11 mi away",Carrara White Metallic,Gasoline,7-Speed Automatic,540 hp 3.8L H6,WP0AD2A99HS167295,"24,642 miles","$139,594"
Armada SV 4WD,2017,Nissan,"Denver, CO
6 mi away",Super Black,Gasoline,Automatic,390 hp 5.6L V8,JN8AY2NC5H9503370,"103,908 miles","$24,998"
QX60 Luxe AWD,2019,INFINITI,"Broomfield, CO
16 mi away",Black Obsidian,Gasoline,Continuously Variable Transmission,295 hp 3.5L V6,5N1DL0MM7KC525074,"41,095 miles","$33,300"
Tundra,2013,Toyota,"Littleton, CO
12 mi away",Super White,Flex Fuel Vehicle,Automatic,381 hp 5.7L V8 Flex Fuel Vehicle,5TFHW5F18DX317178,"115,980 miles","$27,594"
Forester 2.5i,2017,Subaru,"Denver, CO
10 mi away",Quartz Blue Pearl,Gasoline,6-Speed Manual,170 hp 2.5L H4,JF2SJAAC7HG558047,"100,174 miles","$15,591"
Expedition EL XLT 4WD,2014,Ford,"Loveland, CO
46 mi away",Black,Flex Fuel Vehicle,,310 hp 5.4L V8 Flex Fuel Vehicle,1FMJK1J56EEF50775,"138,828 miles","$15,999"
Rogue SV AWD,2011,Nissan,"Centennial, CO
12 mi away",Gray (Platinum Graphite Metallic),Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,JN8AS5MV8BW281826,"113,834 miles","$8,000"
Journey SE FWD,2019,Dodge,"Englewood, CO
8 mi away",Gray (Granite Pearlcoat),Gasoline,4-Speed Automatic,173 hp 2.4L I4,3C4PDCBB9KT804709,"19,641 miles","$20,493"
Sonata 2.0T Limited FWD,2011,Hyundai,"Longmont, CO
29 mi away",Gray,Gasoline,6-Speed Automatic,274 hp 2L I4,5NPEC4AB2BH292020,"115,834 miles","$7,999"
Odyssey,2019,Honda,"Aurora, CO
7 mi away",Silver,Gasoline,Automatic,280 hp 3.5L V6,5FNRL6H75KB019926,"21,411 miles","$37,345"
Pathfinder SV 4WD,2018,Nissan,"Littleton, CO
10 mi away",Red,Gasoline,Continuously Variable Transmission,284 hp 3.5L V6,5N1DR2MM1JC632596,"52,107 miles","$23,488"
RX 350 F Sport AWD,2016,Lexus,"Lakewood, CO
5 mi away",Gray,Gasoline,Automatic,295 hp 3.5L V6,2T2BZMCA8GC005632,"106,022 miles","$26,850"
Sierra 1500 SLE Crew Cab 4WD,2011,GMC,"Littleton, CO
12 mi away",Midnight Blue Metallic,Flex Fuel Vehicle,6-Speed Automatic,315 hp 5.3L V8 Flex Fuel Vehicle,3GTP2VE37BG234563,"227,646 miles","$10,596"
Focus SE Hatchback,2014,Ford,"Loveland, CO
48 mi away",Sterling Gray Metallic,Flex Fuel Vehicle,Automatic,160 hp 2L I4 Flex Fuel Vehicle,1FADP3K24EL225403,"98,776 miles","$6,986"
Fusion Titanium,2015,Ford,"Denver, CO
2 mi away",Brown (Beige),Gasoline,6-Speed Automatic,181 hp 1.5L I4,3FA6P0HD4FR208765,"123,024 miles","$10,977"
Traverse LS AWD,2021,Chevrolet,"Longmont, CO
29 mi away",Gray (Satin Steel Metallic),Gasoline,9-Speed Automatic,310 hp 3.6L V6,1GNEVFKW3MJ243062,"2,300 miles","$32,900"
Escape SE AWD,2017,Ford,"Englewood, CO
5 mi away",Silver,Gasoline,Automatic,179 hp 1.5L I4,1FMCU9GD0HUA32221,"58,707 miles","$16,988"
Civic LX,2018,Honda,"Longmont, CO
30 mi away",Black,Gasoline,Continuously Variable Transmission,158 hp 2L I4,19XFC2F57JE007102,"32,637 miles","$17,998"
LaCrosse CXS FWD,2005,Buick,"Englewood, CO
6 mi away",Red,Gasoline,4-Speed Automatic,240 hp 3.6L V6,2G4WE537251178257,"100,635 miles","$4,995"
Cherokee Limited 4WD,2019,Jeep,"Denver, CO
10 mi away",Silver,Gasoline,Automatic,271 hp 3.2L V6,1C4PJMDXXKD167715,"26,656 miles","$27,389"
XT6 Premium Luxury AWD,2020,Cadillac,"Aurora, CO
7 mi away",Black,Gasoline,Automatic,310 hp 3.6L V6,1GYKPDRS3LZ104735,"20,179 miles","$50,700"
F-150 XL SuperCrew 4WD,2019,Ford,"Denver, CO
10 mi away",Silver,Gasoline,Automatic,325 hp 2.7L V6,1FTEW1EP7KKE92890,"44,941 miles","$35,229"
Model 3 Long Range AWD,2019,Tesla,"Highlands Ranch, CO
12 mi away",Red Multi-Coat,Electric,1-Speed Dual Clutch,,5YJ3E1EB2KF432821,"27,100 miles","$48,900"
F-150 Lariat SuperCab 4WD,2015,Ford,"Centennial, CO
12 mi away",Race Red,Gasoline,6-Speed Automatic,325 hp 2.7L V6,1FTEX1EP2FFC28987,"64,350 miles","$28,000"
Sprinter 2500 144 WB Passenger Van,2016,Mercedes-Benz,"Englewood, CO
5 mi away",White,Diesel,Automatic,161 hp 2.1L I4 Diesel,8BRPE7DD9GE123099,"72,613 miles","$36,988"
CX-9 Sport AWD,2012,Mazda,"Lakewood, CO
4 mi away",Black,Gasoline,Automatic,273 hp 3.7L V6,JM3TB3BA3C0355769,"125,412 miles","$8,999"
Grand Caravan SXT FWD,2017,Dodge,"Denver, CO
6 mi away",White Knuckle Clearcoat,Flex Fuel Vehicle,6-Speed Automatic,283 hp 3.6L V6 Flex Fuel Vehicle,2C4RDGCG7HR586128,"100,921 miles","$12,998"
Grand Cherokee Limited 4WD,2018,Jeep,"Denver, CO
10 mi away",Black,Gasoline,Automatic,295 hp 3.6L V6,1C4RJFBG6JC167691,"36,941 miles","$30,779"
Pacifica Touring L Plus FWD,2017,Chrysler,"Englewood, CO
6 mi away",Black,Gasoline,9-Speed Automatic,287 hp 3.6L V6,2C4RC1EG6HR598025,"87,494 miles","$22,900"
Rover Discovery V6 SE AWD,2018,Land,"Littleton, CO
9 mi away",Loire Blue Metallic,Gasoline,8-Speed Automatic,340 hp 3L V6,SALRG2RV4JA058100,"38,494 miles","$41,649"
Sorento LX,2014,Kia,"Denver, CO
4 mi away",Silver,Gasoline,6-Speed Automatic,191 hp 2.4L I4,5XYKT3A67EG484237,"108,217 miles","$10,999"
Sonata SE FWD,2015,Hyundai,"Centennial, CO
12 mi away",Symphony Silver,Gasoline,6-Speed Automatic,185 hp 2.4L I4,5NPE24AF2FH149385,"115,014 miles","$10,000"
Mustang V6 Premium Coupe RWD,2014,Ford,"Golden, CO
11 mi away",Ruby Red Metallic Tinted Clearcoat,Gasoline,6-Speed Automatic,305 hp 3.7L V6,1ZVBP8AM5E5271714,"30,640 miles","$17,999"
Trax LT AWD,2016,Chevrolet,"Denver, CO
9 mi away",Silver,Gasoline,Automatic,138 hp 1.4L I4,KL7CJPSB5GB614085,"46,125 miles","$14,888"
RAV4 Limited,2018,Toyota,"Aurora, CO
7 mi away",Gray,Gasoline,Automatic,176 hp 2.5L I4,JTMYFREV7JJ154310,"25,367 miles","$27,984"
EcoSport Titanium AWD,2019,Ford,"Centennial, CO
12 mi away",White Platinum Metallic Tri-Coat,Gasoline,6-Speed Automatic,166 hp 2L I4,MAJ6S3KL2KC250344,"44,863 miles","$18,500"
QX80 AWD,2018,INFINITI,"Denver, CO
10 mi away",Brown,Gasoline,Automatic,400 hp 5.6L V8,JN8AZ2NE4J9192986,"35,637 miles","$46,998"
F-150 XLT SuperCrew 4WD,2019,Ford,"Littleton, CO
12 mi away",Oxford White,Gasoline,Automatic,375 hp 3.5L V6,1FTEW1E43KKE06254,"33,288 miles","$38,874"
Cooper Clubman S FWD,2014,MINI,"Castle Rock, CO
24 mi away",Blue,Gasoline,6-Speed Automatic,184 hp 1.6L I4,WMWZG3C52ET800328,"76,847 miles","$11,950"
Santa Fe 2.4L SE FWD,2019,Hyundai,"Centennial, CO
12 mi away",Quartz White,Gasoline,8-Speed Automatic,185 hp 2.4L I4,5NMS23AD0KH122169,"30,293 miles","$22,000"
Silverado 1500 LTZ Crew Cab 4WD,2019,Chevrolet,"Denver, CO
6 mi away",Silver Ice Metallic,Gasoline,8-Speed Automatic,355 hp 5.3L V8,1GCUYGEDXKZ333786,"40,097 miles","$44,998"
F-250 Super Duty XLT Crew Cab,2012,Ford,"Denver, CO
4 mi away",Silver,Flex Fuel Vehicle,6-Speed Automatic,385 hp 6.2L V8 Flex Fuel Vehicle,1FT7W2A68CEB25086,"168,676 miles","$14,999"
1500,2016,RAM,"Englewood, CO
5 mi away",White,Gasoline,Automatic,395 hp 5.7L V8,1C6RR7PT4GS393397,"90,498 miles","$30,988"
F-250 Super Duty Platinum Crew Cab 4WD,2021,Ford,"Littleton, CO
12 mi away",Carbonized Gray Metallic,Biodiesel,Automatic,6.7L V8 Biodiesel,1FT8W2BT4MED70462,"1,720 miles","$83,589"
RX 350 F Sport AWD,2020,Lexus,"Longmont, CO
26 mi away",Atomic Silver,Gasoline,8-Speed Automatic,295 hp 3.5L V6,2T2SZMDA0LC220589,"20,150 miles","$48,600"
F-150 XLT SuperCrew 4WD,2015,Ford,"Castle Rock, CO
24 mi away",White,Flex Fuel Vehicle,6-Speed Automatic,5L V8 Flex Fuel Vehicle,1FTEW1EF6FFB70764,"97,286 miles","$26,950"
SL-Class SL 550,2008,Mercedes-Benz,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,382 hp 5.5L V8,WDBSK71F28F138676,"58,400 miles","$21,995"
Silverado 1500 Custom Double Cab 4WD,2018,Chevrolet,"Milford, CT
45 mi away",Black,Gasoline,6-Speed Automatic Overdrive,355 hp 5.3L V8,1GCVKPEC2JZ243253,"73,205 miles","$31,928"
Compass Limited 4WD,2014,Jeep,"Enfield, CT
16 mi away",Deep Cherry Red Crystal Pearlcoat,Gasoline,Continuously Variable Transmission,172 hp 2.4L I4,1C4NJDCB3ED511502,"94,774 miles","$13,444"
Explorer Limited AWD,2017,Ford,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,2.3L I4,1FM5K8FH8HGB50688,"87,800 miles","$20,995"
Enclave Leather FWD,2014,Buick,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,288 hp 3.6L V6,5GAKRBKD1EJ281254,"96,800 miles","$11,995"
Tucson GLS AWD,2012,Hyundai,"Springfield, MA
26 mi away",Blue,Gasoline,6-Speed Automatic,176 hp 2.4L I4,KM8JUCAC6CU338725,"119,000 miles","$8,499"
Traverse 2LT AWD,2016,Chevrolet,"Naugatuck, CT
26 mi away",Brown (Tan),Gasoline,Automatic,281 hp 3.6L V6,1GNKVHKD0GJ306278,"102,000 miles","$13,495"
Fusion SE,2018,Ford,"Milford, CT
43 mi away",Red,,Automatic,,3FA6P0HDXJR240578,"46,092 miles","$13,995"
WRX Sedan,2017,Subaru,"South Windsor, CT
6 mi away",Silver,Gasoline,6-Speed Manual,268 hp 2L H4,JF1VA1B61H9806050,"72,000 miles","$18,000"
911 Carrera 4 Cabriolet AWD,2017,Porsche,"Middlebury, CT
29 mi away",Blue,Gasoline,7-Speed Dual Clutch,370 hp 3L H6,WP0CA2A91HS141579,"9,000 miles","$106,000"
RDX AWD with AcuraWatch Plus Package,2018,Acura,"Naugatuck, CT
26 mi away",Red (Burgundy),Gasoline,Automatic,279 hp 3.5L V6,5J8TB4H39JL024795,"34,300 miles","$23,595"
Pathfinder S,2017,Nissan,"Naugatuck, CT
26 mi away",Silver,Gasoline,Automatic,284 hp 3.5L V6,5N1DR2MN1HC698973,"31,600 miles","$17,495"
Malibu LS FWD,2017,Chevrolet,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,160 hp 1.5L I4,1G1ZB5ST2HF200482,"90,100 miles","$10,995"
Equinox 1LT AWD,2015,Chevrolet,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,182 hp 2.4L I4,2GNFLFEKXF6328662,"80,700 miles","$10,995"
A6 3.0T quattro Prestige Sedan AWD,2016,Audi,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,333 hp 3L V6,WAUHGAFC7GN004594,"91,200 miles","$19,495"
Forester 2.5i Premium,2018,Subaru,"Naugatuck, CT
26 mi away",Silver,Gasoline,Automatic,170 hp 2.5L H4,JF2SJAGC1JH477844,"102,100 miles","$14,995"
Tiguan SEL Premium 4Motion AWD,2018,Volkswagen,"Meriden, CT
20 mi away",Red,Gasoline,Automatic,184 hp 2L I4,3VV2B7AX0JM157759,"19,941 miles","$26,291"
RAV4 Base AWD,2007,Toyota,"Vernon Rockville, CT
13 mi away",Everglade Metallic,Gasoline,4-Speed Automatic,166 hp 2.4L I4,JTMBD33V575058625,"108,139 miles","$5,970"
Express Cargo 1500 RWD,2012,Chevrolet,"Stratford, CT
47 mi away",Summit White,Gasoline,Automatic,195 hp 4.3L V6,1GCSGAFX2C1102056,"145,762 miles","$13,500"
RC 350 AWD,2015,Lexus,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,306 hp 3.5L V6,JTHSE5BC4F5004108,"31,200 miles","$30,995"
2500 Tradesman Crew Cab 4WD,2016,RAM,"Naugatuck, CT
26 mi away",Red (Burgundy),,Automatic,,3C6UR5CJ0GG192669,"105,100 miles","$27,495"
Legacy 2.5i,2017,Subaru,"New Britain, CT
11 mi away",Crystal Black Silica,Gasoline,Automatic,175 hp 2.5L H4,4S3BNAB64H3016875,"121,751 miles","$11,495"
Explorer XLT 4WD,2014,Ford,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,290 hp 3.5L V6,1FM5K8D88EGB39611,"130,305 miles","$10,995"
Outback 2.5i Premium,2013,Subaru,"Berlin, CT
13 mi away",Blue,Gasoline,Automatic,173 hp 2.5L H4,4S4BRBGC6D3247985,"145,248 miles","$6,995"
Taurus Limited,2011,Ford,"North Haven, CT
28 mi away",Blue,Gasoline,Automatic,263 hp 3.5L V6,1FAHP2FW5BG110290,"117,799 miles","$6,000"
CTS 3.0L Luxury RWD,2013,Cadillac,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,270 hp 3L V6,1G6DE5E57D0105745,"102,900 miles","$8,995"
Spark LS FWD,2019,Chevrolet,"East Hartford, CT
1 mi away",Gray (Nightfall Grey),Gasoline,Automatic,1.4L I4,KL8CB6SA4KC818163,"35,950 miles","$11,771"
Q7 3.0T quattro Premium Plus AWD,2019,Audi,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,329 hp 3L V6,WA1LAAF76KD003527,"20,600 miles","$43,995"
F-350 Super Duty Chassis XLT Crew Cab RWD,2019,Ford,"Naugatuck, CT
29 mi away",Oxford White,Biodiesel,6-Speed Automatic,330 hp 6.7L V8 Biodiesel,1FD8W3ET9KEC40123,"86,530 miles","$44,995"
Grand Cherokee Laredo 4WD,2017,Jeep,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,295 hp 3.6L V6,1C4RJFAG8HC623721,"92,800 miles","$17,495"
Camry LE,2018,Toyota,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,2.5L I4,JTNB11HK3J3030929,"76,200 miles","$15,495"
F-350 Super Duty Platinum Crew Cab LB 4WD,2020,Ford,"Watertown, CT
27 mi away",Iconic Silver Metallic,Gasoline,Automatic,7.3L V8,1FT8W3BN7LED56691,"14,650 miles","$75,488"
Sonata Hybrid,2013,Hyundai,"Manchester, CT
7 mi away",Blue,Hybrid,Automatic,199 hp 2.4L I4 Hybrid,KMHEC4A43DA083764,"117,550 miles","$6,995"
Silverado 1500 LT Crew Cab 4WD,2011,Chevrolet,"New Britain, CT
11 mi away",Black,,Automatic,,3GCPKSE35BG406359,"110,634 miles","$14,995"
Genesis Coupe 3.8 Track RWD,2013,Hyundai,"Plainville, CT
14 mi away",Gray,Gasoline,6-Speed Manual,344 hp 3.8L V6,KMHHU6KJ4DU111550,"38,551 miles","$17,995"
Silverado 1500 LTZ Crew Cab 4WD,2019,Chevrolet,"Hamden, CT
31 mi away",Black,Gasoline,8-Speed Automatic,355 hp 5.3L V8,3GCUYGED3KG100865,"50,378 miles","$47,300"
XV Crosstrek Limited AWD,2014,Subaru,"Berlin, CT
13 mi away",Black,Gasoline,Automatic,2L H4,JF2GPAKC2E8338761,"133,650 miles","$8,995"
Genesis 3.8 AWD,2015,Hyundai,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,311 hp 3.8L V6,KMHGN4JE8FU015232,"65,100 miles","$18,495"
G8 Base,2009,Pontiac,"West Hartford, CT
5 mi away",Gray,Gasoline,5-Speed Automatic,256 hp 3.6L V6,6G2ER57729L167961,"126,687 miles","$4,500"
RAV4 XLE AWD,2015,Toyota,"West Simsbury, CT
11 mi away",Gray,Gasoline,Automatic,176 hp 2.5L I4,JTMRFREVXFJ036134,"23,164 miles","$19,123"
Mirage G4 LE FWD,2020,Mitsubishi,"Naugatuck, CT
26 mi away",-,Gasoline,Automatic,78 hp 1.2L I3,ML32F4FJ1LHF08486,"13,200 miles","$12,495"
Rover LR4 HSE LUX AWD,2016,Land,"Waterbury, CT
23 mi away",Black,Gasoline,8-Speed Automatic,3L V6,SALAK2V63GA833313,"48,983 miles","$33,999"
Sorento LX,2015,Kia,"Naugatuck, CT
26 mi away",Silver,Gasoline,Automatic,191 hp 2.4L I4,5XYKT3A60FG599277,"101,900 miles","$9,995"
Patriot High Altitude Edition 4WD,2016,Jeep,"Naugatuck, CT
27 mi away",Black,Gasoline,6-Speed Automatic,172 hp 2.4L I4,1C4NJRFB4GD557707,"143,462 miles","$7,995"
Journey SE FWD,2016,Dodge,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,173 hp 2.4L I4,3C4PDCAB1GT245469,"32,300 miles","$13,495"
380-Class 380SL Convertible,1981,Mercedes-Benz,"Naugatuck, CT
26 mi away",Blue,Gasoline,Automatic,155 hp 3.8L V8,WDBBA45A0BB009205,"88,600 miles","$6,995"
300 C RWD,2015,Chrysler,"Naugatuck, CT
26 mi away",Red (Burgundy),Gasoline,Automatic,292 hp 3.6L V6,2C3CCAEG3FH833509,"85,900 miles","$14,495"
Tacoma Double Cab V6 4WD,2011,Toyota,"Westfield, MA
26 mi away",Gray,Gasoline,5-Speed Automatic,236 hp 4L V6,3TMLU4EN0BM061930,"136,942 miles","$15,900"
MX-5 Miata Sport Hardtop Convertible,2008,Mazda,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,166 hp 2L I4,JM1NC25F480155796,"74,500 miles","$9,495"
F-150 XL SuperCrew,2015,Ford,"Milford, CT
45 mi away",Red,Gasoline,6-Speed Automatic,325 hp 2.7L V6,1FTEW1CPXFKE65658,"11,770 miles","$26,384"
Encore Premium FWD,2014,Buick,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,138 hp 1.4L I4,KL4CJDSB3EB647319,"63,500 miles","$11,495"
370Z Base,2017,Nissan,"Middletown, CT
13 mi away",Chicane Yellow,Gasoline,7-Speed Automatic,332 hp 3.7L V6,JN1AZ4EH3HM954667,"2,575 miles","$31,250"
Rover Range Rover Sport V6 SE 4WD,2016,Land,"Torrington, CT
23 mi away",Gray,Gasoline,8-Speed Automatic,340 hp 3L V6,SALWG2PF1GA113237,"71,236 miles","$32,370"
5 Series M550i xDrive Sedan AWD,2018,BMW,"Middlebury, CT
27 mi away",Bluestone Metallic,Gasoline,8-Speed Automatic,456 hp 4.4L V8,WBAJB9C56JB286207,"48,927 miles","$42,006"
Camry XLE,2014,Toyota,"Berlin, CT
13 mi away",Gray,Gasoline,Automatic,178 hp 2.5L I4,4T1BF1FK8EU373689,"165,234 miles","$8,495"
4Runner SR5 Premium 4WD,2021,Toyota,"West Springfield, MA
25 mi away",White,Gasoline,Automatic,270 hp 4L V6,JTENU5JR7M5841922,"4,448 miles","$41,995"
A4 Allroad 2.0T quattro Premium Plus AWD,2013,Audi,"Naugatuck, CT
26 mi away",Gray,Flex Fuel Vehicle,Automatic,211 hp 2L I4 Flex Fuel Vehicle,WA1UFAFL6DA126994,"84,600 miles","$13,995"
Camry LE,2011,Toyota,"East Windsor, CT
10 mi away",Magnetic Gray Metallic,Gasoline,Automatic,169 hp 2.5L I4,4T4BF3EK5BR149908,"132,000 miles","$6,299"
Outback 2.5i Premium,2015,Subaru,"West Hartford, CT
4 mi away",Wilderness Green Metallic,Gasoline,Automatic,175 hp 2.5L H4,4S4BSACC5F3352377,"93,009 miles","$14,240"
Grand Cherokee Laredo 4WD,2012,Jeep,"Naugatuck, CT
26 mi away",Silver,Gasoline,Automatic,290 hp 3.6L V6,1C4RJFAG2CC114555,"127,600 miles","$9,995"
1500 Express Quad Cab 4WD,2016,RAM,"Oxford, MA
47 mi away",,Gasoline,Automatic,395 hp 5.7L V8,1C6RR7FTXGS391512,"130,202 miles","$18,999"
Forester 2.5i Premium,2018,Subaru,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,170 hp 2.5L H4,JF2SJAGC0JH484509,"84,300 miles","$17,495"
Legacy 2.5i Limited,2017,Subaru,"Hampden, MA
22 mi away",Carbide Gray Metallic,Gasoline,Automatic,175 hp 2.5L H4,4S3BNAN6XH3018433,"107,250 miles","$14,950"
F-150 XL Extended Cab 4WD LB,2003,Ford,"New Hartford, CT
18 mi away",White,Gasoline,4-Speed Automatic,231 hp 4.6L V8,2FTRX18W13CA83064,"295,000 miles","$2,300"
SQ5 3.0T quattro Premium Plus AWD,2018,Audi,"East Windsor, CT
8 mi away",Florett Silver Metallic,Gasoline,Automatic,354 hp 3L V6,WA1A4AFY6J2035038,"48,640 miles","$39,990"
CR-V EX-L AWD,2013,Honda,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,185 hp 2.4L I4,5J6RM4H72DL033763,"100,500 miles","$13,495"
Forester 2.5i Premium,2018,Subaru,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,170 hp 2.5L H4,JF2SJAGC1JH512205,"77,900 miles","$17,995"
Corolla XLE FWD,2020,Toyota,"Manchester, CT
8 mi away",Classic Silver Metallic,Gasoline,Continuously Variable Transmission,1.8L I4,5YFFPRAE6LP058919,"18,996 miles","$22,777"
Outback 2.5i Limited,2011,Subaru,"Berlin, CT
13 mi away",Gray,Gasoline,Automatic,170 hp 2.5L H4,4S4BRBKC5B3433991,"162,553 miles","$5,495"
Civic EX FWD,2019,Honda,"Waterbury, CT
25 mi away",Blue,Gasoline,Continuously Variable Transmission,174 hp 1.5L I4,19XFC1F30KE200279,"39,359 miles","$19,794"
Santa Fe 2.4L Ultimate AWD,2019,Hyundai,"Holyoke, MA
28 mi away",Quartz White,Gasoline,8-Speed Automatic,185 hp 2.4L I4,5NMS5CAD6KH047145,"29,106 miles","$28,989"
Avalon XLE,2014,Toyota,"Naugatuck, CT
26 mi away",Black,Gasoline,Automatic,268 hp 3.5L V6,4T1BK1EB3EU089769,"99,500 miles","$12,495"
CX-9 Grand Touring AWD,2019,Mazda,"Old Saybrook, CT
36 mi away",Deep Crystal Blue Mica,Gasoline,6-Speed Automatic,250 hp 2.5L I4,JM3TCBDY1K0333365,"22,142 miles","$32,879"
Acadia SLE-2 AWD,2015,GMC,"Naugatuck, CT
26 mi away",Silver,Gasoline,Automatic,281 hp 3.6L V6,1GKKVPKD9FJ343609,"106,100 miles","$13,495"
Civic Si Coupe FWD with Summer Tires,2020,Honda,"Vernon Rockville, CT
8 mi away",White,Gasoline,Manual,205 hp 1.5L I4,2HGFC3A51LH753051,"34,126 miles","$24,472"
300 S AWD,2016,Chrysler,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,300 hp 3.6L V6,2C3CCAGG7GH142384,"83,200 miles","$17,495"
Fusion SE,2014,Ford,"Manchester, CT
7 mi away",Gray,,6-Speed Manual,,3FA6P0HR2ER172472,"100,000 miles","$9,000"
124 Spider Elaborazione Abarth RWD,2017,FIAT,"Hartford, CT",Rosso Red,Gasoline,Automatic,164 hp 1.4L I4,JC1NFAEK8H0109075,"23,983 miles","$23,000"
Ranger XLT SuperCab 4-Door 4WD,2011,Ford,"Naugatuck, CT
26 mi away",White,Gasoline,Automatic,207 hp 4L V6,1FTLR4FE1BPA01150,"128,100 miles","$9,995"
Traverse LS AWD,2015,Chevrolet,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,281 hp 3.6L V6,1GNKVFED8FJ389439,"101,800 miles","$11,995"
Edge Limited AWD,2013,Ford,"Bristol, CT
14 mi away",Gray,Gasoline,6-Speed Automatic,285 hp 3.5L V6,2FMDK4KC8DBA52955,"110,000 miles","$10,999"
Camaro IROC-Z Convertible RWD,1988,Chevrolet,"Terryville, CT
20 mi away",White,Gasoline,,220 hp 5L V8,1G1FP31FXJL185869,"61,630 miles","$11,990"
Pilot EX-L 4WD,2014,Honda,"East Hartford, CT
1 mi away",White,Gasoline,Automatic,250 hp 3.5L V6,5FNYF4H50EB028561,"187,939 miles","$9,895"
Sentra SV FWD,2019,Nissan,"Middletown, CT
13 mi away",White (Fresh Powder),Gasoline,Continuously Variable Transmission,124 hp 1.8L I4,3N1AB7AP3KY274226,"22,569 miles","$17,800"
Journey SE FWD,2016,Dodge,"Naugatuck, CT
26 mi away",Gray,Gasoline,Automatic,173 hp 2.4L I4,3C4PDCAB9GT218410,"76,300 miles","$10,995"
