Name,Year,Manufacturer,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
Pathfinder S,2019,Nissan,NJ,Magnetic Black,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC,5N1DR2MM7KC588220,"47,810 mi.","$22,395"
Pilot Touring,2015,Honda,NJ,Silver,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H99FB026165,"40,640 mi.","$27,200"
Challenger SXT,2018,Dodge,GA,Gray,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CDZAG8JH175339,"50,264 mi.","$20,999"
740e xDrive iPerformance,2018,BMW,IL,Glacier Silver Metallic,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,WBA7J2C56JG938167,"38,872 mi.","$49,857"
Aviator Reserve AWD,2020,Lincoln,NC,Ceramic Pearl Metallic,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC5LGL30958,"13,501 mi.","$57,999"
X5 xDrive40i,2019,BMW,IL,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C59KLK87710,"17,242 mi.","$58,991"
Accord Sport 2.0T,2019,Honda,VA,Modern Steel Metallic,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F33KA005395,"23,611 mi.","$28,000"
1500 Limited,2020,RAM,TN,Diamond Black,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT1LN183889,"7,137 mi.","$64,967"
X5 sDrive40i,2020,BMW,GA,Jet Black,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR4C01LLW64590,"22,668 mi.","$58,800"
X5 xDrive40i,2019,BMW,CA,Gray,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C54KLL62586,"45,487 mi.","$51,998"
Model 3 Long Range,2018,Tesla,TX,Pearl White Multi,Electric ,1-Speed Automatic,Electric,5YJ3E1EA1JF071863,"46,882 mi.","$41,995"
Sierra 1500 SLT,2018,GMC,KY,Onyx Black,Gasoline ,8-Speed Automatic,5.3L V8 16V GDI OHV,3GTU2NEC7JG427538,"15,102 mi.","$48,487"
MKX Premiere,2017,Lincoln,MO,Burgundy Velvet,Gasoline ,6-Speed Automatic,3.7L V6 24V MPFI DOHC,2LMPJ6JR6HBL30358,"34,823 mi.","$24,900"
Sonata Limited,2018,Hyundai,NJ,Machine Gray,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC,5NPE34AF7JH678546,"18,225 mi.","$21,500"
Tahoe LTZ,2013,Chevrolet,GA,Black,Gasoline ,6-Speed Automatic,5.3L V8 16V MPFI OHV,1GNSKCE04DR360572,"85,426 mi.","$29,433"
RAV4 LE,2018,Toyota,OH,Ruby Flare Pearl,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3ZFREV0JW471870,"19,054 mi.","$23,915"
Model 3 Long Range,2021,Tesla,TX,White,Electric ,1-Speed Automatic,Electric,5YJ3E1EB6MF013017,"1,401 mi.","$58,990"
GX 460 Base,2016,Lexus,CA,Gray,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX6G5134421,"38,731 mi.","$36,997"
540 i xDrive,2018,BMW,MA,Alpine White,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBAJE7C51JWD53626,"27,514 mi.","$49,500"
Jetta 1.4T SE,2020,Volkswagen,IN,Black,Gasoline ,8-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,3VWC57BU2LM083629,"13,792 mi.","$22,888"
RC 350 Base,2015,Lexus,,Obsidian Black,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC9F5004955,"47,935 mi.","$28,999"
Sierra 1500 SLT,2018,GMC,MO,Onyx Black,Gasoline ,Automatic,5.3L V8 16V GDI OHV,3GTU2NEC4JG612193,"14,569 mi.","$45,998"
X3 xDrive30i,2018,BMW,CT,Mineral White Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C50JLD61101,"38,845 mi.","$36,798"
300 Limited,2020,Chrysler,TN,Gloss Black,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CCAKG2LH124537,"45,615 mi.","$24,739"
X3 xDrive35i,2012,BMW,MA,Alpine White,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXWX7C51CL975324,"85,252 mi.","$16,750"
Rover Range Rover Evoque Pure Plus,2014,Land,NJ,Santorini Black Metallic,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SALVP2BG6EH872384,"93,326 mi.","$18,499"
Santa Fe XL SE,2019,Hyundai,FL,Monaco White,Gasoline ,6-Speed Automatic,3.3L V6 24V GDI DOHC,KM8SM4HF6KU306897,"40,019 mi.","$26,589"
Grand Cherokee Limited,2018,Jeep,NY,Diamond Black,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG5JC211552,"58,630 mi.","$24,000"
Accord EX-L,2018,Honda,MA,White,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F58JA140222,"19,059 mi.","$26,757"
RDX Technology Package,2019,Acura,VA,Gunmetal Metallic,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,5J8TC2H55KL022143,"17,414 mi.","$38,681"
Elantra SEL,2020,Hyundai,TX,Quartz White Pearl,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,5NPD84LF5LH573842,"48,609 mi.","$19,254"
RAV4 XLE,2018,Toyota,NY,Blue,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,JTMRFREV5JD253744,"32,804 mi.","$25,600"
RX 350 F Sport,2017,Lexus,NY,White,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC,2T2BZMCA2HC124956,"39,969 mi.","$32,950"
Hardtop Cooper,2015,MINI,CA,Iced Chocolate Metallic,Gasoline ,6-Speed Automatic,1.5L I3 12V GDI DOHC Turbo,WMWXM5C52F3A59985,"30,186 mi.","$14,500"
Wrangler Unlimited Sport,2017,Jeep,TX,Granite Crystal Clearcoat Metallic,Gasoline ,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4BJWDG7HL541122,"66,335 mi.","$31,498"
RX 350 Base,2012,Lexus,NJ,Tungsten Pearl,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2BK1BA2CC151376,"142,469 mi.","$14,949"
GLE 350 Base,2017,Mercedes-Benz,AZ,Obsidian Black Metallic,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,4JGDA5JB7HA863987,"35,860 mi.","$35,475"
DTS,2006,Cadillac,IN,Light Platinum,Gasoline ,4-Speed Automatic with Overdrive,4.6L V8 32V MPFI DOHC,1G6KD57Y76U107850,"67,279 mi.","$8,395"
911 Carrera 4S,2014,Porsche,NJ,White,Gasoline ,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC,WP0AB2A94ES123173,"30,559 mi.","$82,995"
CX-5 Grand Touring,2018,Mazda,MN,Machine Gray Metallic,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDMXJ0352799,"27,922 mi.","$27,288"
X5 xDrive35i,2013,BMW,VA,Orion Silver Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXZV4C51D0B14118,"83,547 mi.","$18,000"
4Runner SR5,2020,Toyota,TN,Classic Silver Metallic,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR7L5789368,"48,794 mi.","$37,398"
GLS 450 Base 4MATIC,2017,Mercedes-Benz,TX,Lunar Blue Metallic,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EE3HA791357,"74,404 mi.","$41,500"
Tiguan SEL,2010,Volkswagen,IL,White,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVGBV7AX8AW527910,"86,625 mi.","$10,777"
Accord Sport,2018,Honda,TX,San Marino Red,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31JA156549,"77,479 mi.","$23,400"
X5 M Base,2020,BMW,NJ,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5YMJU0C08L9D04269,"13,697 mi.","$97,521"
X5 xDrive35i,2018,BMW,MA,Dark Graphite Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C51J0X99745,"17,491 mi.","$44,995"
Kona SE,2020,Hyundai,TX,Thunder Gray,Gasoline ,6-Speed Automatic,2.0L I4 16V MPFI DOHC,KM8K12AA1LU447311,"35,410 mi.","$19,949"
Pilot Touring,2013,Honda,IL,White Diamond Pearl,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H90DB009168,"123,552 mi.","$16,466"
G80 3.8,2018,Genesis,FL,Victoria Black,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC,KMHGN4JE8JU266437,"29,096 mi.","$29,966"
RX 350,2018,Lexus,GA,Atomic Silver,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC,2T2ZZMCA2JC109023,"18,259 mi.","$46,235"
Challenger SRT Hellcat,2020,Dodge,OH,Octane Red Pearlcoat,Gasoline ,8-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged,2C3CDZC91LH117574,"10,602 mi.","$67,812"
Explorer ST,2020,Ford,MN,Rapid Red Metallic Tinted Clearcoat,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1FM5K8GC6LGA62833,"23,416 mi.","$50,740"
Wrangler Unlimited Sport,2020,Jeep,FL,Orange,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXDN5LW214739,"27,549 mi.","$43,463"
G80 3.8,2017,Genesis,TX,Santiago Silver,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC,KMHGN4JEXHU175826,"58,703 mi.","$26,991"
GLE 350 Base,2018,Mercedes-Benz,TX,Black,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,4JGDA5JB1JB033683,"47,792 mi.","$39,748"
430 Gran Coupe i,2018,BMW,FL,Snapper Rocks Blue Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA4J1C51JBG75695,"31,638 mi.","$30,699"
Cayenne Base,2019,Porsche,VA,Quartzite Metallic,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WP1AA2AYXKDA13463,"16,023 mi.","$68,500"
Jetta 1.4T S,2018,Volkswagen,AZ,Pure White,Gasoline ,6-Speed Automatic with Tiptronic,1.4L I4,3VW2B7AJXJM228828,"77,558 mi.","$13,645"
Camry SE,2019,Toyota,FL,Midnight Black Metallic,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1B11HK0KU225222,"42,442 mi.","$21,998"
330 i,2017,BMW,GA,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8B9G34HNU56371,"52,261 mi.","$23,700"
Corolla LE,2020,Toyota,IL,Blue,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC,5YFEPRAE9LP117506,"19,849 mi.","$15,499"
Pilot EX-L,2020,Honda,MD,Black Forest Pearl,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H54LB036283,"14,583 mi.","$38,612"
Compass Trailhawk,2020,Jeep,IN,Granite Crystal Clearcoat Metallic,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC,3C4NJDDB7LT171812,"45,506 mi.","$27,890"
Acadia SLE-1,2019,GMC,NJ,Dark Sky Metallic,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,1GKKNRLA2KZ293938,"15,508 mi.","$29,995"
IS 350 Base,2015,Lexus,TX,Starfire Pearl,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHBE1D27F5018727,"82,146 mi.","$26,687"
M3 Base,2018,BMW,WA,Alpine White,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,WBS8M9C53J5K99788,"19,913 mi.","$69,880"
CX-9 Touring,2018,Mazda,MD,Sonic Silver Metallic,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM3TCBCY8J0225826,"49,814 mi.","$28,850"
Sienna LE,2020,Toyota,AZ,Black,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDKZ3DC2LS053367,"18,828 mi.","$24,990"
Charger SXT,2019,Dodge,TX,Sublime Clearcoat Metallic,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CDXBG0KH668209,"25,255 mi.","$26,877"
Camry SE,2019,Toyota,MD,Blue Streak Metallic,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1B11HK2KU248534,"25,023 mi.","$24,987"
GX 460 Base,2018,Lexus,TX,Gray,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX2J5194767,"38,105 mi.","$44,491"
Charger R/T,2016,Dodge,IN,Billet,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,2C3CDXCT7GH281689,"82,234 mi.","$22,988"
330 i xDrive,2018,BMW,MN,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8D9C50JEM31524,"59,348 mi.","$27,827"
Palisade SEL,2021,Hyundai,TX,Hyper White,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC,KM8R24HE8MU181397,"15,090 mi.","$43,000"
330 i,2018,BMW,NV,Alpine White,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8B9C59JEE81542,"27,003 mi.","$28,389"
QX80 Luxe,2019,INFINITI,FL,Mineral Black,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NE6K9237086,"16,376 mi.","$60,998"
QX80 Base,2017,INFINITI,MO,BLSCKBLACK,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NE6H9159692,"73,432 mi.","$42,907"
RX 350 350,2019,Lexus,CA,–,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2ZZMCA6KC122102,"21,204 mi.","$39,591"
Grand Cherokee Limited,2017,Jeep,NJ,Black,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG5HC863467,"44,354 mi.","$25,999"
Crosstrek 2.0i Limited,2018,Subaru,,Ice Silver Metallic,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTALC8JH252150,"41,397 mi.","$23,950"
Accord Sport,2018,Honda,FL,Lunar Silver Metallic,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39JA153284,"29,387 mi.","$24,990"
F-TYPE R,2017,Jaguar,NJ,Ultimate Black,Gasoline ,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,SAJWJ6DL6HMK40593,"28,808 mi.","$62,799"
Enclave Leather,2017,Buick,NE,White,Gasoline ,6-Speed Automatic,3.6L V6 24V GDI DOHC,5GAKVBKD6HJ111617,"17,000 mi.","$25,950"
Trailblazer LT,2005,Chevrolet,IA,Black,Gasoline ,4-Speed Automatic,4.2L I6 24V MPFI DOHC,1GNDT13SX52389762,"226,730 mi.","$2,995"
Fusion SE,2013,Ford,CA,Oxford White,Gasoline ,6-speed automatic transmission w/SelectShift,2.5L i-VCT I4 engine,3FA6P0H78DR249455,"169,629 mi.","$6,999"
GLK-Class GLK 350 4MATIC,2013,Mercedes-Benz,NJ,Black,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDCGG8JB2DG099341,"49,838 mi.","$20,000"
S-Class S 550 4MATIC,2015,Mercedes-Benz,GA,designo Diamond White,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,WDDUG8FB5FA191136,"82,851 mi.","$41,490"
Highlander Hybrid Platinum,2021,Toyota,PA,Blizzard Pearl,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDEBRCH0MS030740,"13,002 mi.","$51,874"
GX 460 Base,2017,Lexus,VA,Starfire Pearl,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX1H5163553,"53,366 mi.","$37,000"
XT5 Luxury,2018,Cadillac,CA,Crystal White Tri-Coat,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNCRS6JZ221822,"20,354 mi.","$32,999"
Tundra Limited,2016,Toyota,TX,Black,E85 Flex Fuel ,6-Speed Automatic,5.7L V8 32V MPFI DOHC Flexible Fuel,5TFHW5F19GX513229,"144,170 mi.","$29,491"
S5 3.0T Premium Plus quattro,2014,Audi,IL,Brilliant Black,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Supercharged,WAUCGAFR6EA013189,"85,426 mi.","$24,775"
XC60 T5 Premier,2016,Volvo,MA,Ice White,Gasoline ,6-Speed Automatic,2.5L I5 20V MPFI DOHC Turbo,YV4612RK8G2789338,"56,797 mi.","$23,980"
AMG GLE 63 S Coupe 4MATIC,2018,Mercedes-Benz,VA,Brilliant Blue Metallic,Gasoline ,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo,4JGED7FB3JA102573,"30,996 mi.","$82,000"
RX 350 Base,2021,Lexus,NJ,Atomic Silver,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2HZMDA3MC262556,"12,371 mi.","$51,960"
Sierra 1500 SLT,2018,GMC,MO,Onyx Black,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,1GTV2NEC6JZ246709,"50,320 mi.","$38,995"
X7 M50i,2020,BMW,VA,Ametrin Metallic,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5UXCX6C05LLE35642,"21,694 mi.","$96,500"
4Runner Nightshade,2020,Toyota,CA,Magnetic Gray Metallic,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JRXL5797898,"21,264 mi.","$49,892"
540 i,2018,BMW,TX,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBAJE5C51JWA94804,"17,952 mi.","$44,850"
Yukon XL Denali,2018,GMC,IL,Onyx Black,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2HKJ2JR176038,"24,131 mi.","$62,421"
E-Class E 350,2014,Mercedes-Benz,TX,Black,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDHF5KB3EA869731,"77,201 mi.","$22,990"
Civic LX,2020,Honda,TX,Cosmic Blue Metallic,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F61LH514336,"15,788 mi.","$22,439"
MDX 3.5L w/Technology Package,2019,Acura,NY,Canyon Bronze Metallic,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD4H54KL021905,"17,015 mi.","$38,500"
330 i,2018,BMW,FL,Black,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,WBA8B9C55JAE22429,"30,813 mi.","$33,988"
X3 sDrive28i,2017,BMW,CA,Black,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXWZ7C5XH0U45839,"63,100 mi.","$23,888"
Q7 2.0T Premium Plus,2018,Audi,IL,Orca Black Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WA1LHAF77JD047241,"34,498 mi.","$41,900"
CR-V EX-L,2017,Honda,MN,Modern Steel Metallic,Gasoline ,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,5J6RW2H85HL024469,"46,122 mi.","$27,998"
Explorer Limited,2018,Ford,VA,Shadow Black,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8F80JGB66874,"38,225 mi.","$34,000"
Pilot EX-L,2019,Honda,OH,Black Forest Pearl,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H50KB009242,"24,822 mi.","$35,549"
XT5 Luxury,2018,Cadillac,CA,Crystal White Tri-Coat,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNDRS9JZ214787,"14,312 mi.","$35,981"
RS 5 2.9T,2018,Audi,FL,Misano Red Pearl Effect,Gasoline ,8-Speed Automatic,2.9L V6 24V GDI DOHC Twin Turbo,WUAPWAF57JA903900,"25,466 mi.","$69,350"
Explorer Limited,2014,Ford,VA,Oxford White,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8F86EGA40685,"79,733 mi.","$21,500"
Model S 100D,2018,Tesla,CA,Black,Electric ,1-Speed Automatic,Electric,5YJSA1E21JF282755,"20,332 mi.","$63,500"
NX 300 F Sport,2018,Lexus,NY,Nebula Gray Pearl,Gasoline ,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTJYARBZ6J2088667,"46,283 mi.","$29,869"
G80 3.8,2018,Genesis,FL,Himalayan Gray,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC,KMHGN4JE7JU226687,"29,077 mi.","$29,888"
Rover Range Rover Velar D180 SE R-Dynamic,2018,Land,GA,Fuji White,Diesel ,8-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,SALYL2RN5JA744783,"45,052 mi.","$48,500"
Tahoe LS,2018,Chevrolet,NJ,Black,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKAKC7JR365103,"24,931 mi.","$47,914"
Silverado 1500 LT,2015,Chevrolet,AZ,Summit White,E85 Flex Fuel ,6-Speed Automatic,4.3L V6 12V GDI OHV Flexible Fuel,1GCRCREH1FZ252152,"50,559 mi.","$28,271"
RAV4 LE,2018,Toyota,NY,Black,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3BFREV0JW853611,"45,295 mi.","$18,999"
XC60 T5 Momentum,2019,Volvo,CO,Dark Green,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK6KB205560,"23,190 mi.","$41,600"
S-Class S 550,2017,Mercedes-Benz,IL,Magnetite Black Metallic,Gasoline ,9-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,WDDXK8CB4HA031445,"27,340 mi.","$89,999"
Grand Cherokee Limited,2018,Jeep,CO,Diamond Black,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG8JC200593,"46,638 mi.","$33,995"
Grand Cherokee Limited,2018,Jeep,CO,True Blue Pearlcoat,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4RJFBT2JC299991,"32,012 mi.","$34,539"
Sienna XLE,2016,Toyota,MN,Creme Brulee Mica,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,5TDDK3DC8GS131444,"90,895 mi.","$25,997"
Yukon Denali,2012,GMC,TX,Quicksilver Metallic,E85 Flex Fuel ,6-Speed Automatic,6.2L V8 16V MPFI OHV Flexible Fuel,1GKS2EEF2CR297712,"158,987 mi.","$17,995"
Silverado 1500 LTZ,2016,Chevrolet,TX,Blue,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,3GCUKSEC5GG157216,"85,054 mi.","$24,995"
X5 xDrive35i,2015,BMW,VA,Gray,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C51F0K62302,"60,679 mi.","$26,466"
4Runner SR5,2016,Toyota,TX,–,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEZU5JR7G5141601,"57,934 mi.","$35,211"
330 i,2018,BMW,FL,Black Sapphire Metallic,Gasoline ,–,2.0L I4 16V GDI DOHC Turbo,WBA8B9C56JK677338,"7,421 mi.","$34,473"
X7 xDrive40i,2020,BMW,IL,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCW2C05L9B05492,"19,420 mi.","$76,999"
Ridgeline RTL-E,2020,Honda,TX,Crystal Black Pearl,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F76LB011763,"20,500 mi.","$40,700"
C-Class C 300 4MATIC,2019,Mercedes-Benz,FL,Black,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8EBXKU298965,"35,993 mi.","$33,999"
CX-5 Touring,2018,Mazda,AZ,Eternal Blue Mica,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFACMXJ1365848,"26,711 mi.","$19,899"
Sequoia TRD Sport,2019,Toyota,TX,Gray,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TDZY5G15KS073036,"31,116 mi.","$52,015"
E-Class E 350,2010,Mercedes-Benz,CA,Obsidian Black Metallic,Gasoline ,7-Speed Automatic,3.5L V6 24V MPFI DOHC,WDDKJ5GB7AF015819,"57,710 mi.","$15,999"
Grand Cherokee Limited,2020,Jeep,KY,Bright White Clearcoat,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJEBG1LC265332,"65,045 mi.","$36,287"
Grand Cherokee Trackhawk,2018,Jeep,NY,Diamond Black,Gasoline ,8-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged,1C4RJFN91JC269882,"47,901 mi.","$75,952"
Cayenne Base,2016,Porsche,TX,White,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,WP1AA2A28GKA13587,"80,962 mi.","$36,790"
Camry SE,2021,Toyota,MO,Midnight Black Metallic,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1G11AK3MU406589,"16,534 mi.","$28,450"
F-150 XL,2018,Ford,FL,Lightning Blue,Gasoline ,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FTEW1EP8JKF52285,"20,209 mi.","$38,999"
Outback 2.5i Limited,2018,Subaru,OR,Twilight Blue Metallic,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,4S4BSANC1J3239175,"18,382 mi.","$30,644"
Forester 2.5i Premium,2016,Subaru,IL,Dark Gray Metallic,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,JF2SJADC6GH465928,–,"$18,288"
Santa Fe SEL 2.4,2020,Hyundai,NC,Stormy Sea,Gasoline ,8-Speed Automatic,2.4L I4 16V GDI DOHC,5NMS33AD5LH225764,"21,121 mi.","$27,739"
CX-5 Touring,2018,Mazda,NY,Soul Red Crystal Metallic,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM0J0438172,"19,964 mi.","$23,876"
ES 350 Base,2016,Lexus,WI,Black,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,JTHBK1GG0G2236267,"20,362 mi.","$29,886"
Sienna Limited,2021,Toyota,ND,Blueprint,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDZSKFC6MS006645,"10,588 mi.","$50,000"
M3 Base,2018,BMW,CA,Black Sapphire Metallic,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,WBS8M9C5XJ5L00256,"20,351 mi.","$64,000"
